component_type,domain,path_or_route,responsibility,entry_point,dependencies,side_effects,authorization,test_evidence,status
"route",System,GET|HEAD /,"Render default Laravel welcome page","Closure",web,"No direct side effect identified from route declaration","Public web middleware only","tests/Feature/ExampleTest.php or domain-specific coverage not identified in Task 3",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-categorii","Filament list page for the owning resource","App\Filament\Resources\BudgetCategories\Pages\ListBudgetCategories","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-categorii/create","Filament create page for the owning resource","App\Filament\Resources\BudgetCategories\Pages\CreateBudgetCategory","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-categorii/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\BudgetCategories\Pages\EditBudgetCategory","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-mesaje","Filament list page for the owning resource","App\Filament\Resources\BudgetRawMessages\Pages\ListBudgetRawMessages","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-mesaje/create","Filament create page for the owning resource","App\Filament\Resources\BudgetRawMessages\Pages\CreateBudgetRawMessage","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-mesaje/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\BudgetRawMessages\Pages\EditBudgetRawMessage","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-salarii","Filament list page for the owning resource","App\Filament\Resources\Salaries\Pages\ListSalaries","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-salarii/create","Filament create page for the owning resource","App\Filament\Resources\Salaries\Pages\CreateSalary","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-salarii/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\Salaries\Pages\EditSalary","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-tranzactii","Filament list page for the owning resource","App\Filament\Resources\BudgetTransactions\Pages\ListBudgetTransactions","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-tranzactii/create","Filament create page for the owning resource","App\Filament\Resources\BudgetTransactions\Pages\CreateBudgetTransaction","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Budget and Telegram","GET|HEAD admin/buget-tranzactii/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\BudgetTransactions\Pages\EditBudgetTransaction","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Panel/Budget*; tests/Feature/Schema/BudgetSchemaTest.php; tests/Feature/Panel/RoleAccessTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-camere","Filament list page for the owning resource","App\Filament\Resources\Rooms\Pages\ListRooms","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
