id,severity,class,domain,title,status,evidence,reproduction,impact,recommendation,verification
"SC-AUD-001","Medium","operational-gap","Frontend build","Clean npm installation is not reproducible without a committed lockfile","open","docs/audit/2026-06-14/baseline.md#clean-npm-install: npm ci exited 1 with EUSAGE because package-lock.json and npm-shrinkwrap.json are absent; the build used pre-existing node_modules.","From a clean checkout, run npm ci.","Dependency resolution cannot be reproduced deterministically in CI or a fresh deployment, and npm run build currently depends on locally prepared dependencies.","Commit and maintain the repository's chosen npm lockfile, then make npm ci the documented clean-install path.","In a fresh checkout with no node_modules, npm ci exits 0 and npm run build exits 0 without modifying the lockfile."
"SC-AUD-002","Low","operational-gap","Containerized development","Isolated Compose project cannot start while the existing app port is in use","open","docs/audit/2026-06-14/baseline.md#isolated-compose-startup-attempt: docker compose up -d from the audit worktree exited 1 because full-application-audit-app-1 could not bind 0.0.0.0:8080; docs/audit/2026-06-14/baseline.md#isolated-compose-port-configuration also shows default published ports 8080 and 55433, so concurrent worktrees require explicit port overrides or no host publishing.","Keep the existing app stack running, then run docker compose up -d from D:\Automation\SkyPark\App\.worktrees\full-application-audit with default environment values.","Concurrent isolated worktrees cannot start the full stack with default environment values while the primary stack is running.","Document per-worktree APP_PORT and FORWARD_DB_PORT overrides, or avoid publishing host ports for isolated worktree stacks.","With the primary stack running, start a second worktree stack using documented non-conflicting APP_PORT and FORWARD_DB_PORT values, or with host publishing disabled, and confirm docker compose ps shows both services running."
"SC-AUD-003","Low","maintainability","Code quality","Laravel Pint reports 78 style violations","open","docs/audit/2026-06-14/baseline.md#formatting: vendor/bin/pint --test exited 1 after checking 302 files and reported 78 style issues.","Run vendor/bin/pint --test in the application image against the audited commit.","The repository cannot enforce its configured formatter as a passing quality gate, increasing formatting churn and review noise.","Apply Pint in a separately reviewed mechanical-formatting change and add the check to CI.","vendor/bin/pint --test exits 0 on the formatted commit and the full automated test suite remains green."
"SC-AUD-004","High","security-risk","Identity and access","Operator users can perform destructive operations (edit/delete) on critical resources","open","docs/audit/2026-06-14/security-asvs.md#sc-aud-004: AppServiceProvider lacks policy registrations, and app/Policies is empty.","Authenticate as an operator, navigate to /admin/parcare-rezervari, and delete a reservation.","Operator users can delete or alter critical customer, booking, and contract records.","Create Eloquent policies for all models and register them.","Operator users get a 403 response on delete or edit actions."
"SC-AUD-005","High","security-risk","Identity and access","Operator users can view and mutate system configuration, templates, and webhook logs","open","docs/audit/2026-06-14/security-asvs.md#sc-aud-005: System resources do not define canAccess().","Authenticate as an operator, and navigate directly to /admin/sistem-automatizari.","Tampering with webhook logs or outbound message templates is permitted for operators.","Implement resource-level canAccess() checks or make these resources read-only.","Operator users are denied access to system configuration routes and pages."
"SC-AUD-006","Medium","security-risk","Messaging and automation","No API rate limiting configured on automation and webhook endpoints","open","docs/audit/2026-06-14/security-asvs.md#sc-aud-006: routes/api.php does not use throttle middleware.","Send multiple rapid API requests to any endpoint.","DoS risk and brute-force vulnerability against API tokens.","Apply throttle middleware to the api routes group.","Rapid API requests return 429 Too Many Requests."
"SC-AUD-007","Medium","security-risk","Identity and access","Operator seeder uses hardcoded passwords in all environments","open","docs/audit/2026-06-14/security-asvs.md#sc-aud-007: OperatorUserSeeder.php has a hardcoded default password.","Run OperatorUserSeeder in production.","Predictable initial credentials in production.","Restrict the seeder to local environments or fetch passwords from environment variables.","Seeder throws an exception in production if environment variables are not set."
"SC-AUD-008","Medium","confirmed-defect","System","Multi-step writes and import loops are executed without database transactions","open","docs/audit/2026-06-14/data-integrity.md#sc-aud-008: Loop imports and webhook actions lack transactional wrapping.","Simulate database failure on PDF import loop or Telegram save step.","Partial updates, orphan records, and inconsistent data states on failure.","Wrap multi-step writes in DB::transaction blocks.","Simulated failure rolls back all database changes successfully."
"SC-AUD-009","Medium","missing-workflow","System","Payment change audits and parking reservation status audits are never automatically generated","open","docs/audit/2026-06-14/data-integrity.md#sc-aud-009: Audit tables exist but are never written by model events or observers.","Update a reservation status or payment, and check the audit tables.","Changes to critical financial and reservation data are not tracked or audited.","Register observers or boot events to automatically log status and payment changes.","Auditing tables record a new row automatically after saving or modifying records."
"SC-AUD-010","High","confirmed-defect","Lodging / Vehicle rental","Lodging rooms and vehicles can be double-booked for overlapping periods","open","docs/audit/2026-06-14/data-integrity.md#sc-aud-010: Lodging reservation and rental contract schemas lack overlap checks.","Create two reservations for Room A or Contract for Vehicle B on overlapping dates.","Double-booking leads to client disputes, room availability errors, and manual overrides.","Add check validations or form constraints to prevent overlapping reservations.","Forms fail validation and block saving on date-range availability conflicts."
"SC-AUD-011","High","security-risk","System","Handlers do not lock database rows, allowing duplicate records under concurrent requests","open","docs/audit/2026-06-14/data-integrity.md#sc-aud-011: Handlers lack pessimistic lockForUpdate() checks.","Send concurrent duplicate requests to Telegram webhook or outboundcallback controller.","Duplicate budget transactions and event logs are created under race conditions.","Use pessimistic database locks (lockForUpdate) on session queries and transaction creation.","Only a single transaction or event is created, and the concurrent thread is rejected or handled as a no-op."
